update,global_step,rollout_reward_per_env,ep_return_mean,ep_len_mean,episodes_finished,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,4096,0.411132813,0.10278320219367743,233.875,16,0.083021104,0.083110578,0.083022036,0.084128194,0.083056562,0.084498115,0.083435126,0.080281936,0.083539419,0.083914071,0.084815331,0.083177499
2,8192,0.36191406249999997,0.085156248,238.47058823529412,17,0.083329044,0.083559617,0.083331928,0.083638653,0.083373077,0.085397966,0.083828412,0.07481546,0.084868535,0.08465381,0.085553214,0.083650306
3,12288,0.455957031,0.11398925818502903,230.6875,16,0.08330746,0.083415888,0.083474003,0.083550841,0.083505541,0.087090902,0.084238298,0.069575362,0.086105049,0.085406736,0.086868756,0.083461247
4,16384,0.5982421874999999,0.12594572258623024,229.1578947368421,19,0.082940891,0.083081156,0.082969069,0.083108723,0.0832785,0.087117188,0.084833212,0.064706236,0.089453429,0.085355908,0.089997441,0.083158262
5,20480,0.60234375,0.13385417064030966,222.66666666666666,18,0.082987778,0.082544155,0.082543634,0.083035409,0.082845375,0.089880906,0.0844585,0.060379442,0.090936251,0.085150987,0.091918357,0.083319187
6,24576,0.592578125,0.13168402844005161,226.44444444444446,18,0.082820788,0.082512967,0.081853822,0.082968771,0.082977019,0.090905569,0.084823593,0.056284223,0.092162386,0.085631013,0.094207823,0.082852066
7,28672,0.62109375,0.13075657894736842,227.78947368421052,19,0.082859784,0.082589269,0.080497362,0.082721144,0.082598552,0.094724886,0.083177999,0.052678153,0.094090641,0.083906107,0.096848086,0.083308041
8,32768,1.123242188,0.22464843839406967,204.9,20,0.080904849,0.082208663,0.07738886,0.081073023,0.080922641,0.096414141,0.081564598,0.049322058,0.10064514726400375,0.081379697,0.097525947,0.090650424
9,36864,2.702050781,0.4323281282186508,156.92,25,0.077593654,0.077542685,0.07340467,0.077513196,0.07755354,0.099656984,0.077666551,0.046991844,0.11640812456607819,0.077646524,0.092816837,0.1052054762840271
10,40960,3.0337890625000004,0.44945023236451326,151.33333333333334,27,0.077076934,0.077385113,0.067250602,0.077222712,0.077230044,0.10236357152462006,0.077189095,0.044318598,0.11942960321903229,0.077665515,0.093613021,0.10925521701574326
11,45056,4.5848632812500005,0.5557410021622976,120.33333333333333,33,0.077363245,0.077666618,0.060973573476076126,0.077461101,0.077304825,0.1042260080575943,0.077383325,0.041781336069107056,0.12062663584947586,0.077908263,0.095268495,0.11203665286302567
12,49152,5.474414063,0.59182855,113.02702702702703,37,0.07752163,0.077816017,0.055320133,0.077563085,0.077218167,0.10613325238227844,0.077436358,0.039386138,0.12023282796144485,0.078011379,0.097037151,0.11632384359836578
13,53248,5.203710938,0.5947098246642522,113.65714285714286,35,0.07753548,0.077818476,0.050394874066114426,0.077512212,0.076948889,0.10809897631406784,0.077329531,0.037120819091796875,0.11892732977867126,0.077959776,0.098941237,0.1214125007390976
14,57344,5.0091796875000005,0.5565755185153749,121.38888888888889,36,0.077410221,0.077678822,0.046118807047605515,0.077312134,0.076494738,0.11015626043081284,0.077065133,0.034983002,0.11892031133174896,0.077756487,0.10103786736726761,0.12506617605686188
15,61440,6.126855469,0.6623627511230675,95.27027027027027,37,0.07714507,0.077395596,0.042381010949611664,0.076960273,0.075847208,0.11233431100845337,0.076639146,0.032967564,0.11834104359149933,0.077398181,0.10339151322841644,0.12919913232326508
16,65536,6.780273438,0.6307231115047321,101.06976744186046,43,0.076740041,0.076968126,0.039085790514945984,0.076454811,0.074999042,0.11466907,0.076048382,0.031069854274392128,0.1179400384426117,0.076882273,0.10608825832605362,0.13305434584617615
17,69632,3.2953125000000005,0.4707589255911963,143.42857142857142,28,0.076202027,0.076402664,0.036160584539175034,0.075800933,0.073950887,0.11721493303775787,0.075296819,0.029287662357091904,0.11937687546014786,0.076213226,0.1092539057135582,0.1348395049571991
18,73728,4.653808593750002,0.5475068946971613,122.8529411764706,34,0.075501196,0.075668611,0.033532429,0.074967392,0.072669037,0.11997657269239426,0.074352369,0.027604794,0.12009239196777344,0.07535883,0.11299607902765274,0.13728027045726776
19,77824,6.253515625,0.6413862200883719,98.35897435897436,39,0.075021654,0.075150385,0.031315584,0.074334227,0.071520172,0.11780830472707748,0.07359118,0.026149479672312737,0.12070372700691223,0.074700542,0.11814453452825546,0.14156018197536469
20,81920,3.0583984374999997,0.4369140602648258,154.07142857142858,28,0.074635364,0.07471963,0.029392829164862633,0.073773853,0.070381045,0.11847983300685883,0.072886355,0.024852460250258446,0.12299952656030655,0.074110113,0.12000011652708054,0.1437688022851944
21,86016,6.705566406249999,0.6542016002463131,95.58536585365853,41,0.074455693,0.074490212,0.027757292613387108,0.073398836,0.069362178,0.11962147802114487,0.072349511,0.023729106411337852,0.12459685653448105,0.073701136,0.12089139223098755,0.14564628899097443
22,90112,4.7271484374999995,0.572987691,117.15151515151516,33,0.074156426,0.0741354,0.026250766590237617,0.072886281,0.06815847,0.12069052457809448,0.071661621,0.022660845890641212,0.12694962322711945,0.073149115,0.12217138707637787,0.14712950587272644
23,94208,7.067578125,0.642507101,98.45454545454545,44,0.073850624,0.073767878,0.024894900619983673,0.072346739,0.066877976,0.12187766283750534,0.070931494,0.021677762269973755,0.12874287366867065,0.072564662,0.1235930547118187,0.1488744020462036
24,98304,5.4380859374999995,0.6042317731512917,107.83333333333333,36,0.073445775,0.073294722,0.023641886189579964,0.071688637,0.065441586,0.12304239720106125,0.070069507,0.020747449,0.13124415278434753,0.071855515,0.12501265108585358,0.15051569044589996
25,102400,5.696289062499999,0.5842347733485393,114.61538461538461,39,0.073007666,0.072781414,0.022500176,0.070976354,0.063917942,0.12430138140916824,0.069139667,0.019884301349520683,0.13349606096744537,0.071086116,0.12655103206634521,0.15235790610313416
26,106496,6.226562500000001,0.6386218007940513,101.33333333333333,39,0.072519645,0.072211027,0.021453036,0.070193626,0.062303077429533005,0.12563876807689667,0.068127319,0.019079364836215973,0.13568881154060364,0.070240028,0.12819455564022064,0.15435072779655457
27,110592,7.400097656250002,0.6727361509745772,91.79545454545455,44,0.07203491,0.071636409,0.020505486,0.069392487,0.060655899345874786,0.1271572858095169,0.067084789,0.018341819,0.1369653195142746,0.06936942,0.13005201518535614,0.1568041443824768
28,114688,8.524511719,0.7103759783009688,80.60416666666667,48,0.07160341,0.071107119,0.019660189747810364,0.068621516,0.059030909,0.12895791232585907,0.066060849,0.017678042873740196,0.13647522032260895,0.068523124,0.13223296403884888,0.1600487381219864
29,118784,12.22822266,0.7642639195546508,66.609375,64,0.07137087,0.070767693,0.018943021073937416,0.06802015,0.057556618,0.1313178837299347,0.065190941,0.017114808782935143,0.13255468010902405,0.06784071,0.13175781071186066,0.16756486892700195
30,122880,7.657128906249997,0.680633678,89.57777777777778,45,0.070770308,0.070055775,0.018196199,0.067048758,0.05578804,0.13321471214294434,0.06396015,0.016512241,0.13343775272369385,0.06678427,0.13110525906085968,0.17312653362751007
31,126976,11.827636718749995,0.7630733352515006,66.01612903225806,62,0.070176311,0.069342852,0.017520345747470856,0.066067278,0.054048382,0.1319979727268219,0.062718093,0.015963098034262657,0.1337197721004486,0.065713324,0.1328582465648651,0.17987436056137085
32,131072,9.694921874999997,0.7316922165875165,75.24528301886792,53,0.069476195,0.068518333,0.016881309,0.064973302,0.052267279,0.13392552733421326,0.061371814,0.015438045375049114,0.13488027453422546,0.064527184,0.13300570845603943,0.1847350299358368
33,135168,15.387304687499999,0.8098581394082621,53.71052631578947,76,0.068737537,0.067649834,0.016292838379740715,0.063834958,0.050513628870248795,0.1335381269454956,0.059990898,0.014951024204492569,0.13496217131614685,0.063294932,0.13497360050678253,0.1912604421377182
34,139264,8.168554688,0.6951961428561109,85.48936170212765,47,0.067639917,0.066423796,0.015678374096751213,0.062362074851989746,0.048572585,0.13504569232463837,0.058309048,0.014432866126298904,0.13953685760498047,0.061730749905109406,0.13609673082828522,0.19417132437229156
35,143360,9.162792969,0.7186504281034657,79.47058823529412,51,0.066514418,0.065168232,0.015116115100681782,0.060870736837387085,0.046706702560186386,0.13684053719043732,0.056629878,0.013956250622868538,0.14307139813899994,0.060150169,0.13796569406986237,0.19700980186462402
36,147456,10.38378906,0.7416992182178157,72.96428571428571,56,0.065359496,0.06388364,0.014600456692278385,0.059365902096033096,0.044922344386577606,0.13883690536022186,0.054961774,0.013517019338905811,0.1456509381532669,0.058559879660606384,0.1400463730096817,0.2002953141927719
37,151552,12.479980468749998,0.7799987806938589,62.578125,64,0.064127162,0.062525302,0.014116252772510052,0.057810608,0.04319175,0.14093400537967682,0.053273748606443405,0.013101977296173573,0.14795099198818207,0.056925177574157715,0.1422349512577057,0.20380812883377075
38,155648,13.794140624999995,0.7996603267780249,56.98550724637681,69,0.062800534,0.061079383,0.013656439259648323,0.056196872144937515,0.041507966816425323,0.14308862388134003,0.051561233,0.01270523,0.150216743,0.055239949375391006,0.1444884091615677,0.20745863020420074
39,159744,11.574902343750004,0.7590099927343306,68.08196721311475,61,0.061321791261434555,0.059492618,0.013205652125179768,0.054480445,0.039836011826992035,0.14515258371829987,0.049785893,0.012312998063862324,0.1533716768026352,0.053462289,0.146657333,0.21092069149017334
40,163840,11.418457031250002,0.7612304729719956,67.91666666666667,60,0.059716433,0.057792909,0.012766947038471699,0.052691359,0.038194437,0.14715640246868134,0.047976714,0.011928529478609562,0.15710023045539856,0.051623166,0.1487724334001541,0.21428042650222778
41,167936,11.94492188,0.7706401194295576,64.32258065,62,0.058009237,0.05600699,0.012342220172286034,0.050856858,0.036596879,0.1491243690252304,0.046158511,0.011553966,0.16113601624965668,0.049750249832868576,0.1508580595254898,0.21760661900043488
42,172032,11.512988281249996,0.76753255,65.65,60,0.056201566,0.054138511419296265,0.011927940882742405,0.048981696367263794,0.035039138,0.1510160267353058,0.044334386,0.011186332441866398,0.16562502086162567,0.047848657,0.1528732031583786,0.22082750499248505
43,176128,13.256835937500007,0.7914528957943419,58.89552239,67,0.054339748,0.0522337,0.011529682204127312,0.047107663,0.033542532473802567,0.15290430188179016,0.042539947,0.010831165127456188,0.1699972003698349,0.045959223,0.15489141643047333,0.2241235226392746
44,180224,13.053808593750002,0.7793318538078621,62.343283582089555,67,0.052414622,0.050284627825021744,0.011140978895127773,0.045226119458675385,0.032091837376356125,0.15470920503139496,0.040764462,0.010482653,0.17465192079544067,0.044073134660720825,0.15683165192604065,0.22732874751091003
45,184320,11.900878906249998,0.7677986376708553,66.04838709677419,62,0.050427064299583435,0.048292447,0.010757720097899437,0.043335907,0.030677823,0.15636727213859558,0.039003745,0.010137153,0.1798657327890396,0.042188651859760284,0.15862885117530823,0.23031766712665558
46,188416,13.960644531249995,0.7977511114307813,57.52857142857143,70,0.048420321,0.046298269,0.010384920984506607,0.041471026837825775,0.029316613,0.15794223546981812,0.037285108119249344,0.009799589,0.1851474493741989,0.040338017,0.16034694015979767,0.23324957489967346
47,192512,14.548535156250002,0.808251953,54.541666666666664,72,0.046406597,0.04431279,0.010021070949733257,0.039637465,0.028004944324493408,0.15940852463245392,0.035610537976026535,0.009468722,0.19056524336338043,0.038526021,0.16195933520793915,0.23607882857322693
48,196608,14.868847656250002,0.8037214967850093,55.445945945945944,74,0.044385254,0.042334065,0.009662277,0.037829824,0.026732420548796654,0.1606963723897934,0.033972055,0.00914104,0.1964426040649414,0.036746326833963394,0.16339416801929474,0.23866361379623413
49,200704,13.798144531249998,0.7998924371988877,56.507246376811594,69,0.04237223,0.040375821,0.00930878,0.036056824028491974,0.025499733164906502,0.1617938131093979,0.032374717,0.008816903,0.20276430249214172,0.035006407648324966,0.16463786363601685,0.2409926801919937
50,204800,17.147363281249994,0.8263789526669376,49.38554217,83,0.040398307144641876,0.038465623,0.008964417,0.03433973,0.024317149072885513,0.162756547,0.030835109,0.008500084,0.20915451645851135,0.03332587,0.16574573516845703,0.24319694936275482
51,208896,13.925488281249999,0.79574219,58.1,70,0.038449943,0.036588825,0.008623778,0.032662391662597656,0.023169323801994324,0.1634766310453415,0.029336586594581604,0.008185579,0.21616198122501373,0.03168815,0.16660648584365845,0.24505044519901276
52,212992,12.70888672,0.7820853375471555,61.98461538461538,65,0.036533173,0.034749657,0.008286304,0.031025966629385948,0.022054007276892662,0.16392220556735992,0.027878493070602417,0.007872948,0.2239038348197937,0.03009353,0.1671854853630066,0.24649444222450256
53,217088,16.36884766,0.8288024124465411,48.69620253164557,79,0.03467039,0.032967884093523026,0.007955522,0.029445907101035118,0.020979737862944603,0.16414453089237213,0.026473253965377808,0.007565644,0.2320604771375656,0.028556320816278458,0.16753284633159637,0.2476474642753601
54,221184,14.035351562499995,0.8020200882639203,56.31428571428572,70,0.032852326,0.031233392655849457,0.007628203,0.027911322191357613,0.019936891,0.16406148672103882,0.025109970942139626,0.007260686,0.24104058742523193,0.027065349742770195,0.16756249964237213,0.2483372539281845
55,225280,17.508105468749996,0.823910845,49.752941176470586,85,0.031095894053578377,0.029561128467321396,0.007307487,0.026434123516082764,0.018932580947875977,0.1637219935655594,0.023798473179340363,0.006961142,0.25055357813835144,0.025631628930568695,0.16732189059257507,0.2486800104379654
56,229376,15.15751953,0.8084010414282481,54.12,75,0.029395421966910362,0.027944731,0.006991575,0.025007473304867744,0.017960941419005394,0.1630723625421524,0.022531960159540176,0.006665385,0.26086339354515076,0.024248119443655014,0.16675373911857605,0.2485649436712265
57,233472,17.455371093750006,0.8312081495920817,48.01190476190476,84,0.027754791,0.026387104764580727,0.006681163,0.023633118718862534,0.017022553831338882,0.16211269795894623,0.021311528980731964,0.006374143,0.27195391058921814,0.022916173562407494,0.16585546731948853,0.24799732863903046
58,237568,18.71328125,0.8410463473770056,45.21348314606742,89,0.026173061,0.024886740371584892,0.006376017,0.022309064865112305,0.016115596517920494,0.16082291305065155,0.020135080441832542,0.006087253,0.2839204967021942,0.021633582189679146,0.16460397839546204,0.24693620204925537
59,241664,19.229980468750004,0.8452738670857398,44.010989010989015,91,0.024658607318997383,0.023451078683137894,0.006078324,0.021041573956608772,0.015244428,0.15924717485904694,0.019008005037903786,0.005806869,0.2965377867221832,0.020406201481819153,0.1630418747663498,0.24547801911830902
60,245760,16.17246093749999,0.829356971,48.53846153846154,78,0.023183612152934074,0.022053299471735954,0.005781496,0.019806268,0.014391344971954823,0.15719972550868988,0.017908228561282158,0.005526738,0.31074225902557373,0.019210238,0.16097651422023773,0.24322021007537842
61,249856,21.007617187500006,0.8487926128536764,43.01010101010101,99,0.021767564117908478,0.020711611956357956,0.005490658,0.018619334,0.013568135909736156,0.15479888021945953,0.016850292682647705,0.005251816,0.3259361982345581,0.01806125,0.1585262417793274,0.24041803181171417
62,253952,15.59599609,0.8208419002200428,50.96052631578947,76,0.020402928814291954,0.019418660551309586,0.005204344,0.017474079504609108,0.012770093977451324,0.15199367702007294,0.015828154981136322,0.00498074,0.34238770604133606,0.016952645033597946,0.15563687682151794,0.23695015907287598
63,258048,16.521289062500003,0.8260644534602761,49.475,80,0.019088059663772583,0.018172714859247208,0.004922549,0.016368906944990158,0.011996254324913025,0.14877371490001678,0.014840411953628063,0.004713554,0.36016765236854553,0.015882814303040504,0.15229623019695282,0.23277711868286133
64,262144,20.237011718749994,0.8520847097823494,42.07368421052632,95,0.017832133919000626,0.016982387751340866,0.004648116,0.015311632305383682,0.011252587661147118,0.14522011578083038,0.013894191011786461,0.004453017,0.37890103459358215,0.014859268441796303,0.14858661592006683,0.22805891931056976
65,266240,16.621875000000003,0.8208333327446455,50.96296296296296,81,0.016631164,0.015843836590647697,0.004380552,0.014298866502940655,0.010536917485296726,0.14132164418697357,0.012986531481146812,0.004198696,0.39868077635765076,0.013878694,0.14449667930603027,0.22274568676948547
66,270336,15.46328124999999,0.8138569075810281,52.94736842105263,76,0.015480374917387962,0.014752458781003952,0.004119116,0.013326565735042095,0.009846581,0.13705946505069733,0.012113870121538639,0.003949909,0.41964808106422424,0.012937135994434357,0.14000819623470306,0.21675826609134674
67,274432,15.172460937499997,0.8091979130109151,53.89333333333333,75,0.014385012909770012,0.013713233172893524,0.003865727,0.012399358674883842,0.009185321,0.13250631093978882,0.011280518025159836,0.003708537,0.4414959251880646,0.012039086,0.1351974755525589,0.2102234959602356
68,278528,22.443945312499995,0.8632286666677549,38.90384615384615,104,0.013356923125684261,0.012737485580146313,0.003624146,0.011527622118592262,0.008561178,0.12781307101249695,0.010496056638658047,0.003478213,0.4635424315929413,0.011194616556167603,0.1302216798067093,0.20344656705856323
69,282624,20.24316406,0.8523437487451654,42,95,0.012387282215058804,0.011816815473139286,0.003392591,0.010703928768634796,0.007969021,0.12294819951057434,0.00975388,0.003257258,0.48600703477859497,0.010396526,0.12505263090133667,0.19631482660770416
70,286720,19.65048828,0.8543690562896107,41.42391304347826,92,0.011475993320345879,0.010951166041195393,0.0031716,0.009928417,0.007409318,0.1179620772600174,0.00905424,0.003046223,0.5087078809738159,0.009644954,0.11974620819091797,0.1889019012451172
71,290816,19.06914063,0.838203985,46.02197802197802,91,0.010622392408549786,0.010139955207705498,0.002961554,0.009200712,0.006882148,0.11290334165096283,0.008396944,0.00284549,0.5314715504646301,0.008939558,0.11435680091381073,0.18127954006195068
72,294912,15.787988281250003,0.8201552346929327,51.15584415584416,77,0.009826977,0.009383712,0.002763133,0.008521463,0.006388343,0.10783647745847702,0.007782717,0.002655749,0.5540431141853333,0.008280994,0.108955018,0.17356231808662415
73,299008,22.62626953,0.8619531262488592,39.266666666666666,105,0.009089153,0.008681926,0.002576711,0.007890387,0.005928037,0.10281790047883987,0.007211442,0.002477376,0.5762022137641907,0.007668999,0.10360296070575714,0.1658528447151184
74,303104,20.275683593749992,0.8537129929191187,41.61052631578947,95,0.008406506,0.008032361,0.002402123,0.007305594,0.005500145,0.097883984,0.006681523,0.002310233,0.5978219509124756,0.007101776,0.098342076,0.15821172297000885
75,307200,17.49101562500001,0.8329055039655595,47.19047619047619,84,0.007776046,0.0074322,0.002238999,0.006764698,0.005103161,0.093062177,0.006190896,0.002153984,0.6188136339187622,0.006577018,0.093204141,0.15068303048610687
76,311296,22.44482421874999,0.8632624699519231,38.89423076923077,104,0.0071957,0.00687953,0.0020872,0.006266085,0.00473617,0.08838816,0.005738204,0.002008514,0.6390401124954224,0.006093183,0.088228568,0.14333859086036682
77,315392,22.258984375000004,0.8644265775541657,38.56310679611651,103,0.006661259,0.006370375,0.001945921,0.00580627,0.004396798,0.08386755,0.005320364,0.001873065,0.6585090756416321,0.005646911,0.083423823,0.1361786127090454
78,319488,19.203613281250007,0.8441148704879886,44.34065934065934,91,0.006171,0.005903146,0.001815048,0.005383926,0.004084278,0.0795324,0.004936249,0.001747543,0.6770877242088318,0.005236923,0.078824006,0.12927770614624023
79,323584,19.28535156249999,0.8477077595480196,43.31868131868132,91,0.005721176,0.005474292,0.001693831,0.004995917,0.003796456,0.07538487,0.004583081,0.001631235,0.6947881579399109,0.004860201,0.074432641,0.1226382702589035
80,327680,21.713281249999998,0.8599319322274463,39.84158415841584,101,0.005309637,0.005081809,0.001581955,0.004640518,0.003532214,0.07144323,0.004259349,0.001523852,0.7115342020988464,0.004515076,0.070268527,0.11630970239639282
81,331776,23.996679687500006,0.8726065343076532,36.236363636363635,110,0.004932486,0.004722,0.001478548,0.004314443,0.003289232,0.067697659,0.003962111,0.001424565,0.7273887395858765,0.004198368,0.066322088,0.11026972532272339
82,335872,22.323144531250005,0.8669182325451119,37.85436893203884,103,0.004586895,0.004392192,0.001383022,0.004015321,0.003065861,0.064147301,0.003689254,0.001332813,0.7423649430274963,0.003907797,0.062592201,0.10452236235141754
83,339968,22.614843750000002,0.8615178568022591,39.39047619047619,105,0.004270047,0.004089725,0.001294756,0.003740794,0.002860433,0.060787011,0.003438663,0.001248011,0.7564947009086609,0.003641071,0.059073087,0.099061564
84,344064,20.023925781250004,0.8520819500405737,42.07446808510638,94,0.00397936,0.003812151,0.001213173,0.00348868,0.002671409,0.057610511779785156,0.003208383,0.001169602,0.7698132991790771,0.003396083,0.055757615715265274,0.093879633
85,348160,21.287988281250005,0.8601207377934696,39.78787878787879,99,0.003713432,0.003558152,0.001138025,0.003257822,0.002498012,0.054624923,0.002997397,0.001097362,0.7822842597961426,0.00317172,0.052651372,0.089007489
86,352256,21.481738281250003,0.8592695315182209,40.03,100,0.003469319,0.003324922,0.001068573,0.003045713,0.002338412,0.051811598,0.00280343,0.00103058,0.7940017580986023,0.002965548,0.049734774976968765,0.084405378
87,356352,25.959765625000006,0.8799920559434568,34.13559322033898,118,0.003245197,0.003110739,0.001004397,0.002850802,0.002191507,0.049164772033691406,0.002625094,0.000968856,0.8049927949905396,0.002776067,0.047000687569379807,0.080069117
88,360448,24.00019531,0.8727343727241863,36.2,110,0.003038967,0.002913604,0.000944972,0.002671299,0.002055992,0.046671606600284576,0.002460766,0.000911689,0.8153200745582581,0.00260154,0.044435180723667145,0.075974353
89,364544,22.547656249999996,0.8672175516302769,37.76923076923077,104,0.002849092,0.00273206,0.000889933,0.0025059,0.001930931,0.044325243681669235,0.002309276,0.000858729,0.8250147700309753,0.002440707,0.042030028998851776,0.072113447
90,368640,24.48525391,0.8744733578392437,35.705357142857146,112,0.002674168,0.002564774,0.000838937,0.002353396,0.001815456,0.042118523,0.002169537,0.000809648,0.8341087102890015,0.002292407,0.039776772260665894,0.06847769
91,372736,26.743164062500007,0.8840715375320971,32.97520661157025,121,0.002512875,0.002410487,0.000791655,0.002212678,0.001708748,0.040043697,0.002040529,0.000764133,0.8426370024681091,0.002155537,0.037666425,0.065056257
92,376832,23.676367187500006,0.8688575100461278,37.30275229357798,109,0.002364049,0.002268095,0.0007478,0.002082749,0.001610085,0.038093902,0.001921358,0.000721909,0.8506295084953308,0.002029148,0.035690903663635254,0.061840571
93,380928,25.795898437500004,0.8819110579470284,33.58974358974359,117,0.002226427,0.002136399,0.00070704,0.001962521,0.001518669,0.036258943378925323,0.001811037,0.000682657,0.8581333756446838,0.001912183,0.033839114010334015,0.05881159
94,385024,31.737890625000002,0.9003656908129969,28.340425531914892,141,0.002099101,0.002014528,0.000669145,0.001851214,0.001433927,0.034532934,0.001708859,0.000646157,0.8651739358901978,0.001803884,0.032104089856147766,0.055962204933166504
95,389120,32.53710938,0.9038085949917635,27.36111111111111,144,0.001981129,0.00190159,0.000633868,0.001748019,0.001355266,0.032908298,0.001614092,0.000612173,0.8717849850654602,0.001703468,0.030477363616228104,0.053279765
96,393216,33.49755859,0.905339423,26.925675675675677,148,0.001871636,0.00179675,0.000600976,0.001652182,0.001282128,0.031377494,0.001526047,0.000580481,0.8780003786087036,0.001610202,0.028950678184628487,0.050751027
97,397312,36.55556641,0.9138891629874706,24.49375,160,0.001769908,0.001699329,0.000570281,0.00156309,0.001214058,0.029934702441096306,0.001444169,0.000550902,0.8838455080986023,0.001523492,0.027517417445778847,0.048367153853178024
98,401408,38.544140625000004,0.917717634,23.404761904761905,168,0.001675306,0.001608716,0.000541615,0.001480191,0.001150652,0.028574522584676743,0.001367954,0.000523272,0.8893435001373291,0.001442802,0.026171479374170303,0.046120051
99,405504,41.30820312499998,0.9230883397869558,21.877094972067038,179,0.001587173,0.001524284,0.000514798,0.001402919,0.001091485,0.027290607,0.001296888,0.000497421,0.8945225477218628,0.001367581,0.024905978,0.043998248875141144
100,409600,41.10917968749999,0.9238017921367389,21.674157303370787,178,0.001505016,0.001445565,0.000489699,0.001330847,0.001036244,0.026078744,0.001230583,0.000473223,0.899400532,0.001297417,0.023716077208518982,0.041996017
101,413696,42.50283203124997,0.9239746105411778,21.625,184,0.001428344,0.001372091,0.000466185,0.001263554,0.000984614,0.024934264,0.001168655,0.00045055,0.9039973616600037,0.001231899,0.022596608847379684,0.040105861
102,417792,48.81962890624995,0.9343469676218534,18.67464114832536,209,0.001356706,0.001303429,0.000444132,0.001200646,0.000936303,0.023852637,0.001110744,0.000429283,0.9083327054977417,0.001170646,0.021542616188526154,0.038320232182741165
103,421888,48.08720703124998,0.9337321800514332,18.849514563106798,206,0.001289696,0.001239194,0.000423428,0.001141775,0.00089105,0.022829771041870117,0.001056533,0.000409315,0.9124239087104797,0.001113319,0.020549597218632698,0.0366324
104,425984,47.37236328124996,0.9334455854787028,18.93103448275862,203,0.001226946,0.001179035,0.000403972,0.001086622,0.000848615,0.021861840039491653,0.001005729,0.000390547,0.9162875413894653,0.001059609,0.019613378,0.035036091
