steps,avg_reward,success_rate,sps
100000,16.108286470845343,0.0,1824
200000,15.69303202489391,0.0,1823
300000,16.871547129582613,0.0,1820
400000,18.359159803474324,0.04,1815
500000,14.70372650927864,0.0,1814
600000,11.24907240640372,0.0,1809
700000,12.188626581132413,0.02,1802
800000,10.17214757285081,0.0,1802
900000,15.864385700477287,0.1,1798
1000000,14.596547688674182,0.12,1786
1100000,19.928090885421263,0.44,1774
1200000,14.123286324890795,0.42,1745
1300000,11.485919569460675,0.18,1706
1400000,16.57563382786233,0.56,1679
1500000,16.479785497523846,0.62,1660
1600000,6.399728033961728,0.0,1645
1700000,11.42156820836477,0.32,1637
1800000,14.577691919552162,0.56,1629
1900000,18.684158378914,0.88,1621
2000000,16.691875021057204,0.8,1611
2100000,12.578172362053301,0.6,1603
2200000,15.228913467265665,0.8,1596
2300000,15.932429214585573,0.94,1591
2400000,15.390598718589171,0.94,1586
2500000,15.497361004836858,1.0,1582
2600000,15.090139733869583,0.98,1580
2700000,15.067318969406188,1.0,1578
2800000,14.73363401805982,1.0,1575
2900000,14.412433095267042,1.0,1573
3000000,14.40477562058717,1.0,1571
3100000,14.261446829484775,1.0,1566
3200000,14.097408506022767,1.0,1563
3300000,13.979760192325339,1.0,1559
3400000,13.8658740067482,1.0,1555
3500000,13.812405842579901,1.0,1552
3600000,13.741477104825899,1.0,1550
3700000,13.696738815624267,1.0,1549
3800000,13.63754860324785,1.0,1547
3900000,13.609081599889324,1.0,1547
4000000,13.54733854134567,1.0,1545
4100000,12.778186736060306,0.94,1543
4200000,13.497542063817383,1.0,1541
4300000,13.284448428461328,1.0,1537
4400000,13.431491933083162,1.0,1535
4500000,13.451590501023457,1.0,1532
4600000,13.390646359138191,1.0,1530
4700000,13.468242012811825,1.0,1529
4800000,12.957108926340005,1.0,1526
4900000,13.16023956597317,1.0,1524
5000000,13.404103759266436,1.0,1522
5100000,13.441276582553982,1.0,1519
5200000,13.46636984477751,1.0,1518
5300000,13.467539405338465,1.0,1516
5400000,13.473325668759644,1.0,1515
5500000,13.494515759944916,1.0,1515
5600000,12.903561122324318,0.92,1514
5700000,13.517700990503654,1.0,1513
